,sentimen,review
0,Positif,"Ini cukup bagus sih untuk cream blush dengan harga yang murah. Sekarang juga pilihan warnanya makin beragam kan! Akan cocok bagi yang suka pake natural makeup. Pertama kali beli ini itu yang shade-shade awal kalo gasalah pink sama apa gitu. Nah awal2 tuh merasa agak tricky pake produknya, entah kurang banyak atau kebanyakan. Tapi kayanya shade-shade baru lebih aplicable dibanding yg shade dulu ya. Trus juga harganya muraaaah bgt sih jd good deal bagi pemakai make up pemula dan untuk sehari2."
1,Positif,"Well, lumayan sih ini.. Gak terlalu pigmented tapi cukup kelihatan.. Texture nya juga lumayan creamy tapi gak thick jadi cukup mudah untuk diblend. Cocok banget dipake daily, bikin wajah kelihatan gak pucat dan tetep fresh. Nah, untuk full make up kayaknya harus ditambah dengan powder brush emina yang lumayan pigmented itu yaa.. Untuk harga, pastinya affordable, jadi cocok nih untuk direpurchase karna bisa dipake dailyğŸ˜‰"
2,Positif,"produk ini cocok banget sih dipake buat make up sehari-hari atau buat kalian yang ingin terlihat natural. dia hasilnya gak ngejreng gitu, agak glowing, dan nyatu aja sama kulit. bagus banget kalo dipake pas bareface, bener-bener natural."
3,Positif,BLUSH LIQUID KECINTAAN!!! udah murah trs hasilnya baguuuus bangeettt!! Shade kesukaan ku yang peach dan nudie brownğŸ’¯ğŸ’¯ğŸ’¯ biasanya aku pakeinnya langsung taro dipipi dan tinggal diblend aja pake tangan (pakenya sedikit demi sedikit ya) Repurchase? YEEEESSSS
4,Positif,Hmm suka nya dia kecil dan ringan tp ini makenya mesti SUPER HATI2 krn kl ga dikontrol bener2 ku ketabok :( dan nempel bgt susah di hapus :( dan aku tipe yg kl make kadang suka lgsg banyak hihi jd kurang cocok tp serius kl make dikit bgt bagus dan MURCE bgt..
5,Negatif,"Blush on liquid yang lumayan ok. Dengan harga segitu menurut aku ini ok sih. Aku pernah coba langsung pake di pipi alhasil harus usaha extra buat ngeblend dan ngeratain, finally skrg taro ditangan dulu baru di blend ke pipi. Warnanya cakep dan keliatan natural. Tapi jangan dipake kebanyakan ya karna makin lama makin keluar warnanya."
6,Positif,"Definisi kecil kecil cabe rawit! Walaupun ukurannya kecil tapi bagus bgt ya ampunnn, pigmented dan tahan lama! Varian warnanya bagus bagus dan diblendnya gampang bangett. Produk lokal yang udah jadi andalan banyak orang nih, bener bener harus punyaa!"
7,Positif,"Lumayan untuk cream blush dengan harga semurah ini. Aku suka, tapi kalo make nya engga hati hati bisa menggeser foundie dibawahnya. Dan harus hati-hati karena blush nya ngeblock. Aku punya warna peach tapi kurang nampol, jadi untuk daily aja bagusnya."
8,Positif,"aku ga pernah pake blush yang ga cream gini sih alias compact blush gtuu, jadi aku mau share pengalaman aku pake ini, yaa aplikasiin nya agak susah dan ngotorin tangan, warna nya lumayan pigmented di kulit tapi ga smudgeproof dan cuman up to 5 hour doang hehe, sometime kulit aku juga jadi lebih oily karena produk ini:("
9,Positif,lucu banget packagingnya dan enak untuk diaplikasiin. pas awal beli harus nyoba nyoba beberapa cara pakenya supaya nemu yang pas dan warnanya keluar. ga menimbulkan breakout atau apapun sih di wajahku. warnanya juga ga begitu ngejreng.
